Player,Age,FGA(0-19),FGM(0-19),FGA(20-29,FGM(20-29),FGA(30-39),FGM(30-39),FGA(40-49),FGM(40-49),FGA(50+),FGM(50+),FGA,FGM,FG%
Jason Myers,32,0,0,8,8,12,11,14,12,8,4,42,35,83.30%
Matt Gay,29,0,0,9,9,10,9,9,7,13,8,41,33,80.50%
Brandon Aubrey,28,0,0,9,9,15,13,4,4,10,10,38,36,94.70%
Cairo Santos,32,0,0,9,9,11,11,10,8,8,7,38,35,92.10%
Greg Zuerlein,36,0,0,8,8,10,9,14,13,6,5,38,35,92.10%
Justin Tucker,34,0,0,10,10,10,10,12,11,5,1,37,32,86.50%
Blake Grupe,25,0,0,12,10,6,6,10,8,9,6,37,30,81.10%
Brandon McManus,32,0,0,4,4,10,10,13,11,10,5,37,30,81.10%
Younghoe Koo,29,0,0,10,10,10,10,11,9,6,3,37,32,86.50%
Dustin Hopkins,33,0,0,8,8,7,7,13,10,8,8,36,33,91.70%
Harrison Butker,28,0,0,8,8,15,13,7,7,5,5,35,33,94.30%
Wil Lutz,29,0,0,11,11,13,12,5,4,5,3,34,30,88.20%
Anders Carlson,25,0,0,6,6,14,14,8,4,5,3,33,27,81.80%
Cameron Dicker,23,0,0,7,7,8,8,9,9,9,7,33,31,93.90%
Matt Prater,39,0,0,6,6,8,7,7,6,12,9,33,28,84.80%
Jake Elliott,28,0,0,9,9,8,7,7,7,8,7,32,30,93.80%
Evan McPherson,24,0,0,5,5,6,6,8,8,12,7,31,26,83.90%
Chase McLaughlin,27,0,0,8,8,12,12,3,2,8,7,31,29,93.50%
Chris Boswell,32,0,0,9,9,7,7,8,7,7,6,31,29,93.50%
Greg Joseph,29,1,1,7,7,9,9,6,3,7,4,30,24,80.00%
Daniel Carlson,28,0,0,10,10,7,6,10,9,3,1,30,26,86.70%
Nick Folk,39,0,0,9,9,9,9,6,6,6,5,30,29,96.70%
Tyler Bass,26,0,0,4,4,13,12,6,4,6,4,29,24,82.80%
Eddy Pineiro,28,0,0,6,6,7,7,9,7,7,5,29,25,86.20%
Jason Sanders,28,0,0,6,6,7,7,8,6,7,5,28,24,85.70%
Ka'imi Fairbairn,29,0,0,10,10,10,10,2,2,6,5,28,27,96.40%
Jake Moody,24,0,0,7,7,9,8,6,4,3,2,25,21,84.00%
Chad Ryland,24,0,0,4,4,7,5,10,5,4,2,25,16,64.00%
Joey Slye,27,0,0,3,2,7,7,9,7,5,3,24,19,64.00%
Brett Maher,34,0,0,3,3,4,4,9,7,7,3,23,17,73.90%